Experiment_Code	Group	Pair
Sample301	T	1
Sample302	P	1
Sample292	T	2
Sample293	P	2
Sample355	T	3
Sample356	P	3
Sample352	T	4
Sample353	P	4
Sample628	T	5
Sample629	P	5
Sample630	T	6
Sample631	P	6
Sample632	T	7
Sample633	P	7
Sample634	T	8
Sample635	P	8
Sample682	T	9
Sample683	P	9
Sample686	T	10
Sample687	P	10
Sample688	T	11
Sample689	P	11
Sample690	T	12
Sample691	P	12
Sample692	T	13
Sample693	P	13
Sample694	T	14
Sample695	P	14
Sample696	T	15
Sample697	P	15
Sample959	T	16
Sample960	P	16
Sample961	T	17
Sample962	P	17
Sample963	T	18
Sample964	P	18
Sample965	T	19
Sample966	P	19
Sample967	T	20
Sample968	P	20
Sample969	T	21
Sample970	P	21
Sample971	T	22
Sample972	P	22
Sample987	T	23
Sample988	P	23
Sample991	T	24
Sample992	P	24
Sample1087	T	25
Sample1088	P	25
Sample993	T	26
Sample994	P	26
Sample1089	T	27
Sample1090	P	27
Sample1091	T	28
Sample1092	P	28
Sample1093	T	29
Sample1094	P	29
Sample1095	T	30
Sample1096	P	30
Sample1097	T	31
Sample1098	P	31
Sample1099	T	32
Sample1100	P	32
Sample1373	T	33
Sample1374	P	33
Sample1375	T	34
Sample1376	P	34
Sample1101	T	35
Sample1102	P	35
Sample1103	T	36
Sample1104	P	36
Sample1105	T	37
Sample1106	P	37
Sample1107	T	38
Sample1108	P	38
Sample1109	T	39
Sample1110	P	39
Sample1111	T	40
Sample1112	P	40
Sample1113	T	41
Sample1114	P	41
Sample1115	T	42
Sample1116	P	42
Sample1117	T	43
Sample1118	P	43
Sample1119	T	44
Sample1120	P	44
Sample1121	T	45
Sample1122	P	45
Sample1125	T	46
Sample1126	P	46
Sample1127	T	47
Sample1128	P	47
Sample1377	T	48
Sample1378	P	48
Sample1379	T	49
Sample1380	P	49
Sample1381	T	50
Sample1382	P	50
Sample1383	T	51
Sample1384	P	51
Sample1385	T	52
Sample1386	P	52
Sample1387	T	53
Sample1388	P	53
Sample1389	T	54
Sample1390	P	54
Sample1391	T	55
Sample1392	P	55
Sample2396	T	56
Sample2395	P	56
Sample2624	T	57
Sample2625	P	57
Sample2397	T	58
Sample2398	P	58
Sample2627	T	59
Sample2626	P	59
Sample2628	T	60
Sample2629	P	60
Sample2401	T	61
Sample2402	P	61
Sample2631	T	62
Sample2630	P	62
Sample2404	T	63
Sample2403	P	63
Sample2405	T	64
Sample2406	P	64
Sample2633	T	65
Sample2632	P	65
Sample2439	T	66
Sample2440	P	66
Sample2635	T	67
Sample2634	P	67
Sample2636	T	68
Sample2637	P	68
Sample2442	T	69
Sample2441	P	69
Sample2443	T	70
Sample2444	P	70
Sample2638	T	71
Sample2639	P	71
Sample2445	T	72
Sample2446	P	72
Sample2448	T	73
Sample2447	P	73
Sample2465	T	74
Sample2464	P	74
Sample2640	T	75
Sample2641	P	75
Sample2449	T	76
Sample2450	P	76
Sample2643	T	77
Sample2642	P	77
Sample2453	T	78
Sample2454	P	78
Sample2456	T	79
Sample2455	P	79
Sample2645	T	80
Sample2644	P	80
Sample2647	T	81
Sample2646	P	81
Sample2457	T	82
Sample2458	P	82
Sample2460	T	83
Sample2459	P	83
