Experiment_Code	Group	Description
Exp027012	0	ctr_0h_R1_IMAC_1.raw
Exp027013	0	ctr_0h_R1_IMAC_2.raw
Exp027014	0	ctr_0h_R1_IMAC_3.raw
Exp027015	0	ctr_0h_R2_IMAC_1.raw
Exp027016	0	ctr_0h_R2_IMAC_2.raw
Exp027017	0	ctr_0h_R2_IMAC_3.raw
Exp027018	0	ctr_0h_R3_IMAC_1.raw
Exp027019	0	ctr_0h_R3_IMAC_2.raw
Exp027020	2	PLX_2h_R1_IMAC_1.raw
Exp027021	2	PLX_2h_R1_IMAC_2.raw
Exp027022	2	PLX_2h_R1_IMAC_3.raw
Exp027023	2	PLX_2h_R2_IMAC_2.raw
Exp027024	2	PLX_2h_R2_IMAC_3.raw
Exp027025	2	PLX_2h_R3_IMAC_1.raw
Exp027026	2	PLX_2h_R3_IMAC_2.raw
Exp027027	2	PLX_2h_R3_IMAC_3.raw
Exp027028	6	PLX_6h_R1_IMAC_1.raw
Exp027029	6	PLX_6h_R1_IMAC_2.raw
Exp027030	6	PLX_6h_R1_IMAC_3.raw
Exp027031	6	PLX_6h_R2_IMAC_1.raw
Exp027032	6	PLX_6h_R2_IMAC_2.raw
Exp027033	6	PLX_6h_R2_IMAC_3.raw
Exp027034	6	PLX_6h_R3_IMAC_1.raw
Exp027035	6	PLX_6h_R3_IMAC_2.raw
Exp027036	24	PLX_24h_R1_IMAC_1.raw
Exp027037	24	PLX_24h_R1_IMAC_2.raw
Exp027038	24	PLX_24h_R1_IMAC_3.raw
Exp027039	24	PLX_24h_R2_IMAC_1.raw
Exp027040	24	PLX_24h_R2_IMAC_2.raw
Exp027041	24	PLX_24h_R2_IMAC_3.raw
Exp027042	24	PLX_24h_R3_IMAC_1.raw
Exp027043	24	PLX_24h_R3_IMAC_3.raw
Exp027044	48	PLX_48h_R1_IMAC_2.raw
Exp027045	48	PLX_48h_R1_IMAC_3.raw
Exp027046	48	PLX_48h_R2_IMAC_1.raw
Exp027047	48	PLX_48h_R2_IMAC_2.raw
Exp027048	48	PLX_48h_R2_IMAC_3.raw
Exp027049	48	PLX_48h_R3_IMAC_1.raw
Exp027050	48	PLX_48h_R3_IMAC_2.raw
