GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
0610009B22Rik	66050	568975198; 13384686; 568975200; 568975202	NP_079595; XP_006533982; XP_006533980; XP_006533981	Q8R3W2; Q9CQP2; Q8BP61; Q9CQF5; Q9D0V3; Q9DCM3
0610010F05Rik	71675	568970480; 1039738276; 1039738283; 568970489; 755536540; 568970486; 117956375; 1039738285; 568970482; 1104167578; 755536545	XP_006514873; XP_017170257; XP_006514871; XP_006514874; NP_082136; XP_017170259; XP_011242051; XP_011242052; NP_001334171; XP_006514870; XP_017170258	A2AF91; Q68FF0; A2AF92; M0QWF3; Q9CWA7; A2AF87; Q6GQU5; Q8BPK6; Q3UQL0; A2AF88; A2AF89; Q6ZPH2
0610010K14Rik	104457	1039735300; 294862278; 294862289; 21389318; 295054298; 294862282; 294862292	NP_001171074; NP_081033; NP_001171072; NP_001171077; NP_001171078; NP_665701; XP_017169702	Q9DCT6; Q9D183; D3Z687; Q3TFE6; Q7TMP3; A2CF83
0610030E20Rik	68364	568942720; 226437615	XP_006506597; NP_080972	Q149G0; Q9DCK6
0610040J01Rik	76261	568934690; 755511802; 153792438	XP_006504241; NP_083830; XP_011239094	Q99K99; Q8BQG8; Q9DCE0
1110004F10Rik	56372	9790217; 755522939	XP_011240169; NP_062746	Q9R0P4
1110008L16Rik	66132	227908787	NP_079649	Q8JZY4; Q8BSN8; Q6A076; Q9CTH1; Q9D7W9
1110008P14Rik	73737	37574084	NP_932118	P58686
1110012L19Rik	68618	21312070	NP_081063	A2AF50; Q9D1F3
1110017D15Rik	73721	359339040; 114520611; 359339012; 359339015; 568927489; 568927491; 114520613; 359339020; 	NP_001240706; XP_006538370; XP_006538371; NP_001240709; NP_082900; NP_001240707; NP_001240717; NP_001041470; 	Q2MH31; Q0GC36; Q9D1B3; A2ANN9
1110025L11Rik	68637	443287658	NP_001263207	O09048
1110032A03Rik	68721	901694049; 31560116; 568960009; 568960011; 1039794068; 1351801513; 1351831795	NP_001298002; NP_001348036; XP_006510642; NP_001348037; NP_075972; XP_006510641; XP_017169045	Q9JHT0; Q3TYP3; H3BL73; Q3TM17; Q4FK47; Q8K0A6; Q9D131; Q9D589
1110032F04Rik	68725	269847632	NP_001161468	E9Q0B3; Q8C4H3
1110038F14Rik	117171	16905135; 568991168; 1109303162; 568991166	NP_001334469; XP_006520412; XP_006520411; NP_473440	Q9D0Z5; Q3U6N9; Q3URI5
1110051M20Rik	228356	29126243; 902967458; 1039760288	XP_011237758; NP_001298073; NP_780332	Q3TPK0; Q5HZI4; Q8BHR8
1110059E24Rik	66206	13384816	NP_079699	Q9CQ90
1110059G10Rik	66202	31541808	NP_079695	Q9CSR4; Q8K039; Q9D0W8
1110065P20Rik	68920	218505684; 568929700; 755508547; 1103360180	XP_011238911; NP_001334125; XP_006503438; NP_001136199	E9Q9M4; B1ARW8
1190005I06Rik	68918	261245127	NP_932105	Q8K1L6; E9PUE0
1190007I07Rik	544717	207438644; 207438646; 207438648	NP_001129041; NP_001129039; NP_001129040	Q8BTC1
1300017J02Rik	71775	568963175; 21313642	NP_082194; XP_006511898	Q9DBD0
1500009L16Rik	69784	755535050; 223633950; 568968426; 755535052	XP_006514123; XP_011241859; XP_011241860; NP_001138670	P0C913
1500015O10Rik	78896	228008374	NP_077245	Q99LS0; Q9D2U7
1520401A03Rik	320309	1039754951; 1039754967; 1039754955; 1039754969; 1039754947; 1039754949; 1039754957; 1039754959; 1039754971; 1039754961; 1039754965; 1039754953; 1039754963	XP_017173238; XP_017173245; XP_017173235; XP_017173240; XP_017173246; XP_017173237; XP_017173242; XP_017173243; XP_017173239; XP_017173244; XP_017173247; XP_017173241; XP_017173236	-
1600002K03Rik	69770	58037177	NP_081483	Q9DAZ5; Q3THR0
1600012H06Rik	67912	139949024; 139948379; 139948866; 139947531	NP_001077349; NP_001077350; NP_001077351; NP_080727	Q9CU86; Q9DAY5; Q80ST2; Q8CEI9
1600014C10Rik	72244	21312338; 145864467	NP_001078854; NP_082442	Q58E27; Q9DAX5; Q8K308; Q8WUR0
1600014C23Rik	72240	332205952; 569001718	XP_006525031; NP_082440	Q9DAX4
1600015I10Rik	69761	253735769	NP_001074742	E9Q745
1700001C02Rik	75434	1039772744; 21729773; 568934674; 755511781	XP_017176617; XP_006504233; XP_011239085; NP_083561	D3Z6F6; Q9DAS2; Q9D9M8
1700001C19Rik	75462	285401645; 58037411; 569001932; 569001928; 1039754681; 1109455278	NP_001165562; XP_006525130; NP_083572; NP_001334513; XP_017173195; XP_006525132	E9Q6U5; Q9DAS0; Q8K168
1700001F09Rik	71826	13386270	NP_082216	Q9DAR5
1700001J03Rik	69282	56606117	NP_001008547	Q80ZR8
1700001K19Rik	66323	568980219; 568980229; 568980225; 568980221; 568980227; 755542971; 253314512	XP_006516210; XP_006516211; NP_079764; XP_006516207; XP_006516212; XP_006516208; XP_011242461	Q80ZT1
1700001L19Rik	69315	198278539	NP_081311	Q9DAR0
1700001O22Rik	73598	568914389; 755497955; 755497957; 755497960; 755497965; 755497968; 258679514; 755497971; 568914387; 755497963; 	XP_006498439; XP_006498438; NP_932117; XP_011237499; XP_011237501; XP_011237497; XP_011237498; XP_011237500; XP_011237502; XP_011237503; 	A2APZ1
1700001P01Rik	72215	118130874	NP_082432	Q80ZQ1; Q9DAQ5
1700003E16Rik	71837	222831618	NP_082224	Q9DAQ4; A0JNU0
1700003F12Rik	75480	1039762192; 110626064	XP_017174794; NP_083581	Q9DAQ3; A2AKE5
1700006A11Rik	71824	568924140; 1269208379; 223950643	NP_001344124; XP_006502184; NP_082215	B9EHI3; Q9DAP3
1700007K13Rik	69327	110625742	NP_081316	Q5BN45
1700008O03Rik	69349	568948466; 755521286; 254587943; 568948468; 755521284; 1039779863	XP_006541234; XP_017167775; XP_011249202; XP_011249201; NP_081325; XP_006541235	Q9DAJ9; D3Z070
1700008P02Rik	69347	254587920	NP_081324	Q9DAJ8
1700009N14Rik	75471	124487358	NP_001074564	Q14AA6
1700010B08Rik	75485	317108168	NP_083584	Q9DAI7
1700010D01Rik	76386	21729782	NP_083866	Q9DAI5
1700010I14Rik	66931	568998278; 568998276; 1109456094; 158937254	NP_080127; XP_006523406; XP_006523405; NP_001334473; 	Q9DAH6; Q7TPG0; Q3TTN6; Q9CVW1
1700011L22Rik	67687	254553506; 568957457; 755527195	XP_006531377; NP_080591; XP_011246794	G3X910; Q9DAF8
1700012A03Rik	76382	21313178	NP_083863	Q9DAF1
1700012B07Rik	69324	241666470; 241666468; 568975608	NP_081314; XP_006534177; NP_001155900	Q9DAE9; Q3V0S8
1700012B09Rik	69325	257196132	NP_083582	Q9DAE7; Q9DAL1
1700012P22Rik	69364	568931849; 242397497	NP_081332; XP_006539217	Q4KKZ1; A2A7Z7; Q08EE4; Q9DAD4
1700013D24Rik	76921	294610653	NP_001170973	Q0P521
1700013F07Rik	75504	198278559	NP_083590	Q9DAD0
1700013G24Rik	69380	21312286	NP_081339	A2A9V0; Q9DAC6
1700013H16Rik	75514	317108149; 569009479	NP_001186942; XP_006535424	Q9DAC5
1700015F17Rik	381716	318056054; 568932823	XP_006503657; NP_001186954	D3YUK8
1700015G11Rik	100503036	307548826	NP_001182530	J3QM76
1700016C15Rik	69428	568911132; 1039729939; 568911127; 113374150	XP_017177918; XP_006497039; NP_081353; XP_006497041	Q9DAA7
1700016D06Rik	76413	21313198	NP_077233	Q9DAA5
1700016H13Rik	74218	755512921; 1039772690; 254588000; 568936297; 755512923; 755512926; 254588002; 568936295; 568936291	XP_011247882; XP_006535323; XP_011247883; NP_083100; XP_006535321; XP_011247884; XP_017176610; NP_001157022; XP_006535324	Q810Q2; Q9DAA3
1700016K19Rik	74230	38348516; 568976108	XP_006534418; NP_941039	Q810M6
1700017B05Rik	74211	568962226; 110625983	NP_083096; XP_006511579	Q3U253; Q3TEI4; Q3UM75; Q9DA93; Q148A1; Q3TMF2
1700017D01Rik	69369	569007775; 755563610; 755563607; 223972668; 569007779	XP_011245635; XP_006527388; XP_006527386; XP_011245636; NP_081334	G5E851; Q9DA92
1700017L05Rik	69370			-
1700017N19Rik	66605	1039733955; 568968206; 568968208; 124486961	XP_017169547; XP_006514018; XP_006514019; NP_001074715	D3YX67
1700018B08Rik	76405	21313190; 568957791; 755527395; 1039790912; 755527397; 568957787; 568957789; 755527401; 1269208356; 755527391; 1269208340	NP_001344189; XP_006531539; XP_006531538; XP_011246841; XP_011246845; XP_006531537; XP_011246843; NP_001344188; NP_083873; XP_011246844; XP_017168490	Q9DA83
1700018F24Rik	69396	170650613; 1039772472	NP_081345; XP_017176580	B2RW27
1700019A02Rik	69397	1562203034; 254588089; 568906915; 755492741; 568906921	NP_081346; NP_001355129; XP_006496316; XP_011236891; XP_006496318	A0A087WPV9; Q9DA74
