GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
March1	361135	1046863822; 1046863826; 1046863831; 1046863833; 209447115; 1046863837; 1046863820; 1046863824; 1046863828; 1046863835	XP_017455664; XP_017455665; XP_017455666; XP_017455670; NP_001129310; XP_017455667; XP_017455668; XP_017455669; XP_008769355; XP_008769356	-
March3	364878	564393518; 1046868436; 1046868439; 56090357; 672083526	XP_006254811; XP_017456494; XP_017456495; NP_001007760; XP_008770381	Q5XIE5; Q33E96
March4	367295	109487291; 109486240	XP_001055311; XP_001074008	D3ZNC9
March5	294079	157823129; 672040231	XP_008758589; NP_001099842	B0BNF6
March6	294862	672041777; 765826549	XP_008759048; NP_001292203	F1M1F1
March7	311059	1046879334; 672045624; 1046879329; 1046879325; 1046879331; 672045618; 58865744	XP_017447173; XP_008760063; NP_001012087; XP_017447171; XP_017447174; XP_008760066; XP_017447172	Q5XI50
March8	312656	1046884597; 1046884601; 1046884610; 672050854; 1046884605; 1046884607; 1046884603; 157823649	XP_008761465; XP_017448134; XP_017448137; XP_017448132; XP_017448135; XP_017448133; XP_017448136; NP_001101352	D3ZG81
March9	679272	1046897033; 154759279	NP_001094071; XP_017450597	A6P321
March10	303596	1046849630; 62078675; 1046849626; 1046849624; 1046849628	XP_017452828; XP_017452827; XP_017452829; XP_017452826; NP_001013995	Q5XIV2; G3XDV3; D3ZAX0
March11	499558	1046873348; 161760669	XP_017446509; NP_001095298	A6P320; F1LSY5
A1bg	140656	25453392	NP_071594	Q9JKL2; Q9EPH1; Q5EBD6
A1cf	170912	564333452; 19173760	NP_596891; XP_006231334	Q924K3; Q8CH55; Q8CH56; Q8CH58; Q923K9; Q8CH57
A2m	24153	158138551	NP_036620	Q4FZY3; P06238
A2ml1	362442	293347095; 672051271	XP_001066684; XP_008761561	-
A3galt2	171553	19924055	NP_612533	A2JQW1; A0A4Z3
A4galt	63888	564361258; 1046896936; 564361260; 1046896941; 1046896945; 11560038; 1046896943	XP_017450567; XP_017450568; XP_006242180; XP_006242179; XP_017450569; NP_071576; XP_017450570	Q9JI93; Q4QR98
A4gnt	685758	672063234; 672023250	XP_008764810; XP_008756076	-
Aaas	300259	564361979; 672059949; 672059951; 157818161	XP_006242449; NP_001100265; XP_008763927; XP_008763926	D3ZNS8
Aacs	65984	12831227	NP_075592	Q9JMI1
Aadac	57300	10120490	NP_065413	Q9QZH8
Aadacl2	295076	300794782	NP_001178635	M0R5D4
Aadacl3	313686	1046888628; 300796048	XP_017448918; NP_001178697	D3ZCR8
Aadacl4	313688	109477673; 109475819	XP_233640; XP_001074331	D3ZTU9
Aadat	29416	564388975; 8393641	NP_058889; XP_006253129	Q64602
Aagab	171435	564364124; 19705519	XP_006243285; NP_599225	Q9R0Z7
Aak1	500244	1046885303; 1046885309; 291045113; 1046885307; 564347675; 1046885305; 564347673; 1046885298; 1046885301	XP_006236895; NP_001166921; XP_006236896; XP_017448306; XP_017448307; XP_017448308; XP_017448309; XP_017448310; XP_017448311	F1LRI7
Aamdc	361606	1046843218; 157817209; 564329831	NP_001101963; XP_006229830; XP_017444863	D3ZZQ4
Aamp	301512	564368940; 564368942; 157817350; 564368938	XP_006245231; XP_006245230; XP_006245229; NP_001100390	G3V7V2
Aanat	25120	6978427; 564375384; 564375382	XP_006247854; NP_036950; XP_006247855	Q4JL74; Q64666; Q64553
Aar2	296312	672047453; 157818159; 564343962	XP_008760544; XP_006235461; NP_001100005	B1WC03
