Gene ID	Symbol	Annotation	Modification	Description	Protein GI	Protein Num	Area	FoT(1e-6)	iBAQ	Peptide Num	Unique Peptide Num	Strict Peptide Num	US Peptide Num	Identified Proteins Num	Unique Proteins Num
3713	IVL	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	involucrin	gi|44890059;gi|410171507	2	49123809.1416	0.1147	1536619.64079	1	1	1	1	2	2
10772	SRSF10	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	serine/arginine-rich splicing factor 10	gi|300360554;gi|300360545;gi|300360549;gi|300360547;gi|5730079;gi|16905517	6	590730505.97	2.3684	31724416.0613	2	0	2	0	6	6
6434	TRA2B	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	transformer 2 beta homolog (Drosophila)	gi|345197228;gi|4759098	2	3551696589.5	25.779	345303835.09	5	5	5	5	2	2
6193	RPS5	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	ribosomal protein S5	gi|13904870	1	5483605028.28	40.9384	548360502.828	7	7	6	6	1	1
5430	POLR2A	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	gi|4505939	1	888451411.165	0.6633	8884514.11165	5	5	4	4	1	1
93974	ATPIF1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	ATPase inhibitory factor 1	gi|30260190;gi|30260192;gi|7705927	3	208301325.348	2.2216	29757332.1925	3	3	1	1	3	3
51692	CPSF3	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	cleavage and polyadenylation specific factor 3, 73kDa	gi|7706427	1	39207789.1647	0.077	1031783.92539	1	1	1	1	1	1
25879	DCAF13	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	DDB1 and CUL4 associated factor 13	gi|229892270	1	560076522.04	1.1615	15557681.1678	1	1	1	1	1	1
2017	CTTN	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	cortactin	gi|20357556;gi|296080746;gi|20357552	3	13606396493.8	35.0276	469186085.994	15	15	12	12	3	3
10055	SAE1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	SUMO1 activating enzyme subunit 1	gi|225543288;gi|4885585;gi|225543285	3	4229219937.28	16.1701	216594818.691	8	8	5	5	3	3
3191	HNRNPL	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	heterogeneous nuclear ribonucleoprotein L	gi|52632385;gi|52632383	2	18264283727.0	52.4438	702472451.037	15	15	13	13	2	2
1152	CKB	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	creatine kinase, brain	gi|21536286	1	9340781827.99	38.7415	518932323.777	10	10	8	8	1	1
8027	STAM	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	gi|4507249	1	365489133.731	0.6201	8306571.22116	1	0	1	0	1	1
7165	TPD52L2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	tumor protein D52-like 2	gi|40805862;gi|345197268;gi|40805866;gi|40805860;gi|345198270;gi|40805864;gi|40805870;gi|40805868;gi|345197264;gi|345197262	10	5436270953.87	35.2617	472321318.186	7	7	5	5	10	10
128312	HIST3H2BB	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	histone cluster 3, H2bb	gi|28173554	1	2.49973568731e+11	199.7185	2675180880.36	3	0	3	0	1	1
5695	PSMB7	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	proteasome (prosome, macropain) subunit, beta type, 7	gi|4506203	1	1937503356.29	11.1266	149038719.714	4	4	2	2	1	1
444	ASPH	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	aspartate beta-hydroxylase	gi|9910364;gi|14589860;gi|14589862;gi|258613955;gi|14589866;gi|258613957;gi|258613946;gi|258613953;gi|258613948;gi|14589864;gi|258613943;gi|258613951	12	1643538054.3	10.2288	137012045.774	9	9	9	9	12	12
